Database,Title
ACM,Circumventing refactoring masking using fine-grained change recording
ACM,How to Communicate when Submitting Patches: An empirical Study of the Linux Kernel
ACM,Low-latency multi-datacenter databases using replicated commit
ACM,Overview of Blockchain Consensus Mechanism
ACM,FHistorian: Locating Features in Version Histories
ACM,How Often Do Single-Statement Bugs Occur?: The ManySStuBs4J Dataset
ACM,Versioning in Main-Memory database systems: From MusaeusDB to TardisDB
ACM,Secure agreement protocols: reliable and atomic group multicast in rampart
ACM,Report on evaluation experiments using different machine learning techniques for defect prediction
ACM,Just-in-time detection of protection-impacting changes on WordPress and MediaWiki
ACM,A unified framework to learn program semantics with graph neural networks
ACM,ConfluxDB: multi-master replication for partitioned snapshot isolation databases
ACM,Feature-oriented defect prediction
ACM,Program Repairing History as Git Repository
ACM,Rectifying orphan components using group-failover in distributed real-time and embedded systems
ACM,Triton: a peer-assisted cloud storage system
ACM,SMChain: a scalable blockchain protocol for secure metering systems in distributed industrial plants
ACM,A Large-Scale empirical Study of Security Patches
ACM,Amalgamating source code authors maintainers and change proneness to triage change requests
ACM,Identifying Optimal Sets of Standardized Architectural Features: A Method and its Automotive Application
ACM,A case of system-level hardware/software co-design and co-verification of a commodity multi-processor system with custom hardware
ACM,Toward improving ability to repair bugs automatically: a patch candidate location mechanism using code similarity
ACM,Formal modeling and analysis of RAMP transaction systems
ACM,How is video game development different from software development in open source?
ACM,Code recommendation for exception handling
ACM,A Blockchain-Based Privacy-Preserving Scheme for Smart Grids
ACM,Automatically diagnosing and repairing error handling bugs in C
ACM,T??r: blob storage meets built-in transactions
ACM,Hybrids on Steroids: SGX-Based High Performance BFT
ACM,An empirical analysis of flaky tests
ACM,Consistent and efficient output-streams management in optimistic simulation platforms
ACM,Predicting co-changes between functionality specifications and source code in behavior driven development
ACM,Don?_?t Trust the cloud Verify: Integrity and Consistency for cloud Object Stores
ACM,Carousel: Low-Latency Transaction Processing for Globally-Distributed Data
ACM,Architecture and design of AlphaServer GS320
ACM,Mining modern repositories with elasticsearch
ACM,Architecture and design of AlphaServer GS320
ACM,Automat+E152:H152ically documenting program changes
ACM,Expressing and checking intended changes via software change contracts
ACM,Process mining software repositories from student projects in an undergraduate software engineering course
ACM,An empirical Study of Crash-inducing Commits in Mozilla Firefox
ACM,Colored Petri nets: a graphical language for formal modeling and validation of concurrent systems
